热销排名,商品信息,所属店铺,支付子订单数,支付件数,支付转化率指数,店铺链接,日期：20170726,日期：20170727,日期：20170728,日期：20170729,日期：20170730,日期：20170731,日期：20170801,日期：20170802,日期：20170803,日期：20170804,日期：20170805,日期：20170806,日期：20170807,日期：20170808
441,破洞牛仔裤女2017春夏季新款宽松bf哈伦裤子薄显瘦钉珠大码九分裤价格：298,怡斐尚旗舰店,38,38,19,//yifeishangnz.tmall.com,456,472,472,349,333,296,447,388,454,427,292,399,357,447
442,烂白色牛仔裤女长裤春夏季2017新款韩版秋显瘦小脚铅笔裤女破洞潮价格：259,舒美舒漫,38,39,23,//smsyniuzaiku.taobao.com,465,441,441,392,355,417,471,394,442,438,453,415,499,442
443,2016韩版女装新款破洞牛仔裤女修身显瘦高腰紧身小脚铅笔裤子长裤价格：36.8,月牙城,37,38,23,//yueyacheng.taobao.com,177,434,434,444,402,353,287,492,456,460,347,344,364,443
444,牛仔裤女长裤薄款秋装2017新款显瘦小脚松紧腰春夏季九分裤女裤子价格：129,左街右巷女裤  微时尚,37,37,27,//haochongchangzai.taobao.com,386,259,259,324,190,464,467,298,348,405,342,358,369,444
445,2017新款韩版大码修身高腰弹力显瘦小脚长裤紧身铅笔牛仔裤包邮价格：199,格秋旗舰店,37,37,20,//geqiu.tmall.com,,,,419,467,,418,236,298,347,251,370,344,445
446,破洞烂牛仔裤女夏高腰九分裤学生2017新款韩版潮紧身膝盖破洞长裤价格：129,皇朝御纺旗舰店,37,37,74,//huangchaoyufang.tmall.com,,,,,,,,,,,,,481,446
447,春夏季新款bf前后破洞牛仔裤女哈伦裤宽松显瘦九分毛边乞丐垮裤潮价格：180,云上生活 明星小艺人,37,38,21,//shop114462765.taobao.com,373,285,285,499,372,428,375,452,434,442,414,490,342,447
448,聚ONLY2017夏新含天丝磨白小脚修身牛仔裤女|117249540价格：449,ONLY官方旗舰店,37,37,29,//only.tmall.com,240,,,482,90,128,199,,390,175,,,,448
449,韩国女装代购 2017秋装新款 磨白抓痕毛边显瘦直筒九分牛仔裤价格：186,cathy studio韩国女装,37,37,7,//hoho--cathy.taobao.com,112,132,132,42,61,37,53,25,16,23,48,18,14,449
450,灰色高腰短裤夏女2017新款韩版牛仔修身显瘦大码胖mm百搭裤子潮价格：99,冰仙子 衣橱,37,37,22,//bxianzi.taobao.com,179,217,217,225,256,248,379,249,307,398,361,240,256,450
