热销排名,商品信息,所属店铺,支付子订单数,交易增长幅度,支付转化率指数,日期：20170620,日期：20170621,日期：20170622,日期：20170623,日期：20170624,日期：20170625,日期：20170626
120,夏季新款毛边破洞牛仔短裤女韩版高腰大码显瘦阔腿裤学生热裤子潮价格：129,铅笔奇奇旗舰店,348,0.0029,169,88,43,71,105,109,129,120
121,网格破洞牛仔短裤女夏新款高腰毛边渔网拼接短裤个性显瘦阔腿热裤价格：39.9,波波伊家,346,0.1449,227,125,86,85,127,136,166,121
122,破洞牛仔裤女九分裤韩版春夏季2017新款宽松紧腰阔腿乞丐哈伦裤子价格：188,卡优希薇旗舰店,344,-0.0391,146,213,147,156,125,133,128,122
123,牛仔五分裤女夏宽松显瘦学生韩国高腰短裤女胖MM大码破洞直筒休闲价格：139,风格馆专柜,344,0.0525,230,215,135,125,139,140,143,123
124,2017夏季新款女装韩版百搭显瘦水洗抓纹破洞毛边牛仔短裤热裤 潮价格：112,妞妞旺铺快时尚潮流女装,343,4.1308,134,,,453,368,,,124
125,薄款牛仔裤女春夏季2017新款高腰显瘦八分阔腿裤毛边九分微喇叭裤价格：138,蒙奴莎旗舰店,339,-0.2565,99,154,104,120,102,103,87,125
126,毛边流苏侧边条裤破洞高腰短裤夏女2017新款夏季韩版牛仔裤子热裤价格：105,yula羽拉 实拍女装,335,-0.0629,111,148,92,79,107,98,126,126
127,夏装2017新款韩版百搭显瘦毛边流苏高腰牛仔阔腿短裤学生热裤女潮价格：129.9,优购女装独家定制,335,0.0052,135,306,220,216,164,139,137,127
128,韩版春装女装时尚破洞毛边牛仔短裤高腰百搭阔腿裤学生牛仔裤显瘦价格：29.88,可可里小姐,329,0.0091,191,367,172,184,193,169,147,128
129,买一送一高腰牛仔短裤女2017新款春季韩版显瘦百搭学生超短裤女夏价格：79,皇朝御纺旗舰店,329,0.0315,170,210,119,130,132,129,150,129
130,毛边牛仔短裤女夏2017新款高腰韩版白色阔腿胖mm宽松大码a字热裤价格：98,欣嘉霓旗舰店,328,0.4125,205,,432,460,474,317,251,130
131,2017夏季破洞牛仔短裤女 韩版磨破大码毛边卷边薄款显瘦热裤子价格：128,美丽印象私人订制,328,0.1307,206,193,145,135,179,150,172,131
